Tue 11 Nov 2025 15:30:37 IST

SLURM_JOBID:		 8108724
SLURM_JOB_NODELIST:	 ise-3090-04 

configuration parmas running: problem_type=brax es_algorithms=SNES
Loading Problems ..:   0%|                                                                                                           | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1111 15:31:13.407072 1263379 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/SNES/0]
Generation 010 | Best fitness (Train): 67.75 | Best fitness in generation (Train): 60.38 | Mean fitness (Train): 25.17 | Mean fitness (Test): 79.30
Generation 160 | Best fitness (Train): 1588.91 | Best fitness in generation (Train): 1164.00 | Mean fitness (Train): 511.56 | Mean fitness (Test): 1344.38
Generation 170 | Best fitness (Train): 1588.91 | Best fitness in generation (Train): 1186.96 | Mean fitness (Train): 540.25 | Mean fitness (Test): 1535.32
Generation 180 | Best fitness (Train): 1588.91 | Best fitness in generation (Train): 1408.70 | Mean fitness (Train): 572.43 | Mean fitness (Test): 1545.12
Generation 190 | Best fitness (Train): 1588.91 | Best fitness in generation (Train): 1419.29 | Mean fitness (Train): 554.45 | Mean fitness (Test): 1586.07
Generation 200 | Best fitness (Train): 1588.91 | Best fitness in generation (Train): 1475.95 | Mean fitness (Train): 647.85 | Mean fitness (Test): 1751.40
Generation 210 | Best fitness (Train): 1588.91 | Best fitness in generation (Train): 1375.33 | Mean fitness (Train): 601.78 | Mean fitness (Test): 1621.33
Generation 220 | Best fitness (Train): 1588.91 | Best fitness in generation (Train): 1442.89 | Mean fitness (Train): 656.98 | Mean fitness (Test): 1732.90
Generation 230 | Best fitness (Train): 1615.61 | Best fitness in generation (Train): 1467.47 | Mean fitness (Train): 717.29 | Mean fitness (Test): 1692.93
Generation 240 | Best fitness (Train): 1615.61 | Best fitness in generation (Train): 1441.36 | Mean fitness (Train): 658.00 | Mean fitness (Test): 1752.13
Generation 250 | Best fitness (Train): 1773.28 | Best fitness in generation (Train): 1399.66 | Mean fitness (Train): 736.07 | Mean fitness (Test): 1841.10
Generation 260 | Best fitness (Train): 1773.28 | Best fitness in generation (Train): 1616.73 | Mean fitness (Train): 777.36 | Mean fitness (Test): 1711.76
Generation 270 | Best fitness (Train): 1847.53 | Best fitness in generation (Train): 1598.72 | Mean fitness (Train): 757.17 | Mean fitness (Test): 1658.17
Generation 280 | Best fitness (Train): 1847.53 | Best fitness in generation (Train): 1643.71 | Mean fitness (Train): 767.51 | Mean fitness (Test): 1788.41
Generation 290 | Best fitness (Train): 1847.53 | Best fitness in generation (Train): 1641.48 | Mean fitness (Train): 801.15 | Mean fitness (Test): 1869.94
Generation 300 | Best fitness (Train): 1847.53 | Best fitness in generation (Train): 1571.01 | Mean fitness (Train): 843.03 | Mean fitness (Test): 1791.76
Generation 310 | Best fitness (Train): 1847.53 | Best fitness in generation (Train): 1671.29 | Mean fitness (Train): 845.07 | Mean fitness (Test): 1809.08
Generation 320 | Best fitness (Train): 1847.53 | Best fitness in generation (Train): 1579.77 | Mean fitness (Train): 846.36 | Mean fitness (Test): 1808.00
Generation 330 | Best fitness (Train): 1847.53 | Best fitness in generation (Train): 1606.37 | Mean fitness (Train): 921.87 | Mean fitness (Test): 1712.55
Generation 340 | Best fitness (Train): 1847.53 | Best fitness in generation (Train): 1724.57 | Mean fitness (Train): 863.25 | Mean fitness (Test): 1783.36
Generation 350 | Best fitness (Train): 1847.53 | Best fitness in generation (Train): 1612.15 | Mean fitness (Train): 926.26 | Mean fitness (Test): 1764.60
Generation 360 | Best fitness (Train): 1847.53 | Best fitness in generation (Train): 1739.25 | Mean fitness (Train): 945.94 | Mean fitness (Test): 1775.59
Generation 370 | Best fitness (Train): 1985.02 | Best fitness in generation (Train): 1685.93 | Mean fitness (Train): 973.00 | Mean fitness (Test): 1912.78
Generation 380 | Best fitness (Train): 1985.02 | Best fitness in generation (Train): 1922.17 | Mean fitness (Train): 1012.62 | Mean fitness (Test): 1931.44
Generation 390 | Best fitness (Train): 2042.63 | Best fitness in generation (Train): 1847.05 | Mean fitness (Train): 982.34 | Mean fitness (Test): 1813.19
Generation 400 | Best fitness (Train): 2042.63 | Best fitness in generation (Train): 1879.95 | Mean fitness (Train): 1037.92 | Mean fitness (Test): 2040.87
Generation 410 | Best fitness (Train): 2042.63 | Best fitness in generation (Train): 1832.87 | Mean fitness (Train): 1041.12 | Mean fitness (Test): 2005.76
Generation 420 | Best fitness (Train): 2042.63 | Best fitness in generation (Train): 1859.46 | Mean fitness (Train): 1056.08 | Mean fitness (Test): 2076.71
Generation 430 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1870.14 | Mean fitness (Train): 1062.90 | Mean fitness (Test): 2113.51
Generation 440 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1887.95 | Mean fitness (Train): 1040.77 | Mean fitness (Test): 2040.93
Generation 450 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1847.33 | Mean fitness (Train): 1075.62 | Mean fitness (Test): 2080.48
Generation 460 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1801.26 | Mean fitness (Train): 1084.23 | Mean fitness (Test): 2030.70
Generation 470 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1747.84 | Mean fitness (Train): 1161.45 | Mean fitness (Test): 1973.71
Generation 480 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 1910.87 | Mean fitness (Train): 1113.24 | Mean fitness (Test): 2104.40
Generation 490 | Best fitness (Train): 2081.01 | Best fitness in generation (Train): 2019.15 | Mean fitness (Train): 1115.07 | Mean fitness (Test): 2024.79
Generation 500 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): 1901.03 | Mean fitness (Train): 1146.36 | Mean fitness (Test): 2161.00
Generation 510 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): 1867.14 | Mean fitness (Train): 1165.41 | Mean fitness (Test): 2041.35
Generation 520 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): 1994.49 | Mean fitness (Train): 1180.07 | Mean fitness (Test): 2211.54
Generation 530 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 540 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 550 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 560 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 570 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 580 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 590 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 600 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 610 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 620 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 630 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 640 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 650 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 660 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 670 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 680 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 690 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 700 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 710 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 720 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 730 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 740 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 750 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 760 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 770 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 780 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 790 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 800 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 810 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 820 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 830 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 840 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 850 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 860 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 870 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 880 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 890 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 900 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 910 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 920 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 930 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 940 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 950 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 960 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 970 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 980 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 990 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 1000 | Best fitness (Train): 2172.41 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
running the experiment ... [../../results/BraxProblem/ant/SNES/1]
Generation 010 | Best fitness (Train): 111.57 | Best fitness in generation (Train): 111.57 | Mean fitness (Train): 24.68 | Mean fitness (Test): 126.87
Generation 020 | Best fitness (Train): 120.12 | Best fitness in generation (Train): 120.12 | Mean fitness (Train): 39.98 | Mean fitness (Test): 280.16
Generation 030 | Best fitness (Train): 237.65 | Best fitness in generation (Train): 180.49 | Mean fitness (Train): 55.71 | Mean fitness (Test): 393.15
Generation 040 | Best fitness (Train): 411.84 | Best fitness in generation (Train): 366.42 | Mean fitness (Train): 82.39 | Mean fitness (Test): 631.95
Generation 050 | Best fitness (Train): 502.27 | Best fitness in generation (Train): 497.19 | Mean fitness (Train): 94.74 | Mean fitness (Test): 631.80
Generation 060 | Best fitness (Train): 726.04 | Best fitness in generation (Train): 529.53 | Mean fitness (Train): 115.72 | Mean fitness (Test): 427.21
Generation 070 | Best fitness (Train): 726.04 | Best fitness in generation (Train): 564.65 | Mean fitness (Train): 137.99 | Mean fitness (Test): 595.44
Generation 080 | Best fitness (Train): 862.92 | Best fitness in generation (Train): 862.92 | Mean fitness (Train): 164.54 | Mean fitness (Test): 705.54
Generation 090 | Best fitness (Train): 862.92 | Best fitness in generation (Train): 666.13 | Mean fitness (Train): 174.50 | Mean fitness (Test): 635.56
Generation 100 | Best fitness (Train): 862.92 | Best fitness in generation (Train): 625.28 | Mean fitness (Train): 187.98 | Mean fitness (Test): 654.41
Generation 110 | Best fitness (Train): 878.59 | Best fitness in generation (Train): 878.59 | Mean fitness (Train): 228.79 | Mean fitness (Test): 670.30
Generation 120 | Best fitness (Train): 1013.42 | Best fitness in generation (Train): 704.17 | Mean fitness (Train): 198.58 | Mean fitness (Test): 670.78
Generation 130 | Best fitness (Train): 1013.42 | Best fitness in generation (Train): 822.61 | Mean fitness (Train): 257.16 | Mean fitness (Test): 820.50
Generation 140 | Best fitness (Train): 1013.42 | Best fitness in generation (Train): 1007.57 | Mean fitness (Train): 278.57 | Mean fitness (Test): 909.80
Generation 150 | Best fitness (Train): 1013.42 | Best fitness in generation (Train): 907.59 | Mean fitness (Train): 270.90 | Mean fitness (Test): 863.08
Generation 160 | Best fitness (Train): 1013.42 | Best fitness in generation (Train): 874.23 | Mean fitness (Train): 285.97 | Mean fitness (Test): 1017.90
Generation 170 | Best fitness (Train): 1015.04 | Best fitness in generation (Train): 913.28 | Mean fitness (Train): 326.51 | Mean fitness (Test): 957.93
Generation 180 | Best fitness (Train): 1015.04 | Best fitness in generation (Train): 994.95 | Mean fitness (Train): 320.53 | Mean fitness (Test): 1027.34
Generation 190 | Best fitness (Train): 1052.06 | Best fitness in generation (Train): 829.36 | Mean fitness (Train): 335.41 | Mean fitness (Test): 1112.01
Generation 200 | Best fitness (Train): 1052.06 | Best fitness in generation (Train): 883.24 | Mean fitness (Train): 354.08 | Mean fitness (Test): 1091.78
Generation 210 | Best fitness (Train): 1126.01 | Best fitness in generation (Train): 1126.01 | Mean fitness (Train): 387.25 | Mean fitness (Test): 1164.07
Generation 220 | Best fitness (Train): 1208.13 | Best fitness in generation (Train): 1108.32 | Mean fitness (Train): 385.35 | Mean fitness (Test): 1134.35
Generation 230 | Best fitness (Train): 1208.13 | Best fitness in generation (Train): 1136.44 | Mean fitness (Train): 446.43 | Mean fitness (Test): 1034.60
Generation 240 | Best fitness (Train): 1208.13 | Best fitness in generation (Train): 1196.54 | Mean fitness (Train): 434.77 | Mean fitness (Test): 1189.48
Generation 250 | Best fitness (Train): 1208.13 | Best fitness in generation (Train): 1121.54 | Mean fitness (Train): 486.97 | Mean fitness (Test): 1189.35
Generation 260 | Best fitness (Train): 1231.37 | Best fitness in generation (Train): 1185.06 | Mean fitness (Train): 523.41 | Mean fitness (Test): 1172.26
Generation 270 | Best fitness (Train): 1319.36 | Best fitness in generation (Train): 1139.32 | Mean fitness (Train): 497.51 | Mean fitness (Test): 1333.51
Generation 280 | Best fitness (Train): 1319.36 | Best fitness in generation (Train): 1126.59 | Mean fitness (Train): 547.03 | Mean fitness (Test): 1230.70
Generation 290 | Best fitness (Train): 1319.36 | Best fitness in generation (Train): 1071.99 | Mean fitness (Train): 531.61 | Mean fitness (Test): 1284.77
Generation 300 | Best fitness (Train): 1319.36 | Best fitness in generation (Train): 1168.96 | Mean fitness (Train): 525.02 | Mean fitness (Test): 1393.45
Generation 310 | Best fitness (Train): 1319.36 | Best fitness in generation (Train): 1182.21 | Mean fitness (Train): 575.77 | Mean fitness (Test): 1307.32
Generation 320 | Best fitness (Train): 1394.12 | Best fitness in generation (Train): 1243.84 | Mean fitness (Train): 562.41 | Mean fitness (Test): 1221.07
Generation 330 | Best fitness (Train): 1394.12 | Best fitness in generation (Train): 1232.05 | Mean fitness (Train): 584.03 | Mean fitness (Test): 1340.67
Generation 340 | Best fitness (Train): 1394.12 | Best fitness in generation (Train): 1204.68 | Mean fitness (Train): 638.61 | Mean fitness (Test): 1423.68
Generation 350 | Best fitness (Train): 1394.12 | Best fitness in generation (Train): 1208.97 | Mean fitness (Train): 626.62 | Mean fitness (Test): 1416.00
Generation 360 | Best fitness (Train): 1394.12 | Best fitness in generation (Train): 1293.43 | Mean fitness (Train): 678.54 | Mean fitness (Test): 1541.04
Generation 370 | Best fitness (Train): 1394.12 | Best fitness in generation (Train): 1324.22 | Mean fitness (Train): 666.32 | Mean fitness (Test): 1571.96
Generation 380 | Best fitness (Train): 1439.66 | Best fitness in generation (Train): 1294.27 | Mean fitness (Train): 672.61 | Mean fitness (Test): 1567.63
Generation 390 | Best fitness (Train): 1439.66 | Best fitness in generation (Train): 1287.05 | Mean fitness (Train): 682.02 | Mean fitness (Test): 1440.87
Generation 400 | Best fitness (Train): 1439.66 | Best fitness in generation (Train): 1270.95 | Mean fitness (Train): 668.84 | Mean fitness (Test): 1545.48
Generation 410 | Best fitness (Train): 1439.66 | Best fitness in generation (Train): 1324.12 | Mean fitness (Train): 722.33 | Mean fitness (Test): 1675.81
Generation 420 | Best fitness (Train): 1476.92 | Best fitness in generation (Train): 1316.26 | Mean fitness (Train): 709.25 | Mean fitness (Test): 1568.15
Generation 430 | Best fitness (Train): 1476.92 | Best fitness in generation (Train): 1351.08 | Mean fitness (Train): 696.14 | Mean fitness (Test): 1630.23
Generation 440 | Best fitness (Train): 1476.92 | Best fitness in generation (Train): 1274.20 | Mean fitness (Train): 744.44 | Mean fitness (Test): 1660.11
Generation 450 | Best fitness (Train): 1480.06 | Best fitness in generation (Train): 1329.04 | Mean fitness (Train): 747.82 | Mean fitness (Test): 1619.95
Generation 460 | Best fitness (Train): 1480.06 | Best fitness in generation (Train): 1256.58 | Mean fitness (Train): 756.69 | Mean fitness (Test): 1660.19
Generation 470 | Best fitness (Train): 1480.06 | Best fitness in generation (Train): 1431.24 | Mean fitness (Train): 784.19 | Mean fitness (Test): 1676.34
Generation 480 | Best fitness (Train): 1480.06 | Best fitness in generation (Train): 1382.32 | Mean fitness (Train): 781.55 | Mean fitness (Test): 1708.37
Generation 490 | Best fitness (Train): 1480.06 | Best fitness in generation (Train): 1412.85 | Mean fitness (Train): 785.91 | Mean fitness (Test): 1735.57
Generation 500 | Best fitness (Train): 1480.06 | Best fitness in generation (Train): 1305.72 | Mean fitness (Train): 771.97 | Mean fitness (Test): 1640.74
Generation 510 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): 1341.80 | Mean fitness (Train): 808.60 | Mean fitness (Test): 1730.05
Generation 520 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): 1267.07 | Mean fitness (Train): 737.40 | Mean fitness (Test): 1776.03
Generation 530 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 540 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 550 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 560 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 570 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 580 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 590 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 600 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 610 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 620 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 630 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 640 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 650 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 660 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 670 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 680 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 690 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 700 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 710 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 720 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 730 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 740 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 750 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 760 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 770 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 780 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 790 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 800 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 810 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 820 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 830 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 840 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 850 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 860 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 870 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 880 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 890 | Best fitness (Train): 1508.33 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
